Date,"GBP/USD(Open, Ask)","GBP/USD(High, Ask)","GBP/USD(Low, Ask)","GBP/USD(Close, Ask)","GBP/USD(Open, Bid)*","GBP/USD(High, Bid)*","GBP/USD(Low, Bid)*","GBP/USD(Close, Bid)*","HISTORICAL SSI(GBP/USD, SSI).SSI"
02/01/1997 00:00:00,1.71295,1.71455,1.69195,1.71105,1.71255,1.71415,1.69155,1.71065,
01/01/1997 00:00:00,1.69155,1.71715,1.69045,1.71295,1.69115,1.71675,1.69005,1.71255,
31/12/1996 00:00:00,1.69215,1.69385,1.68695,1.69155,1.69175,1.69345,1.68655,1.69115,
27/12/1996 00:00:00,1.67495,1.67715,1.67095,1.67505,1.67455,1.67675,1.67055,1.67465,
26/12/1996 00:00:00,1.67295,1.67515,1.67225,1.67495,1.67255,1.67475,1.67185,1.67455,
25/12/1996 00:00:00,1.67795,1.67855,1.67085,1.67295,1.67755,1.67815,1.67045,1.67255,
24/12/1996 00:00:00,1.67225,1.67895,1.66865,1.67795,1.67185,1.67855,1.66825,1.67755,
20/12/1996 00:00:00,1.67515,1.67625,1.65605,1.66605,1.67475,1.67585,1.65565,1.66565,
19/12/1996 00:00:00,1.67295,1.67585,1.66925,1.67515,1.67255,1.67545,1.66885,1.67475,
18/12/1996 00:00:00,1.66785,1.67345,1.66335,1.67295,1.66745,1.67305,1.66295,1.67255,
17/12/1996 00:00:00,1.65595,1.66825,1.65325,1.66785,1.65555,1.66785,1.65285,1.66745,
13/12/1996 00:00:00,1.65465,1.65895,1.64685,1.65745,1.65425,1.65855,1.64645,1.65705,
12/12/1996 00:00:00,1.65425,1.66095,1.65005,1.65465,1.65385,1.66055,1.64965,1.65425,
11/12/1996 00:00:00,1.64755,1.65685,1.64565,1.65425,1.64715,1.65645,1.64525,1.65385,
10/12/1996 00:00:00,1.64395,1.65035,1.64115,1.64755,1.64355,1.64995,1.64075,1.64715,
06/12/1996 00:00:00,1.64545,1.64865,1.61095,1.63565,1.64505,1.64825,1.61055,1.63525,
05/12/1996 00:00:00,1.64485,1.65335,1.63525,1.64545,1.64445,1.65295,1.63485,1.64505,
04/12/1996 00:00:00,1.68225,1.68245,1.63485,1.64485,1.68185,1.68205,1.63445,1.64445,
03/12/1996 00:00:00,1.68335,1.68795,1.67745,1.68225,1.68295,1.68755,1.67705,1.68185,
29/11/1996 00:00:00,1.67875,1.68245,1.67495,1.68125,1.67835,1.68205,1.67455,1.68085,
28/11/1996 00:00:00,1.67295,1.68275,1.67115,1.67875,1.67255,1.68235,1.67075,1.67835,
27/11/1996 00:00:00,1.66865,1.67635,1.66605,1.67295,1.66825,1.67595,1.66565,1.67255,
26/11/1996 00:00:00,1.68185,1.68375,1.66765,1.66865,1.68145,1.68335,1.66725,1.66825,
22/11/1996 00:00:00,1.68135,1.69125,1.67845,1.68925,1.68095,1.69085,1.67805,1.68885,
21/11/1996 00:00:00,1.67635,1.68225,1.67445,1.68135,1.67595,1.68185,1.67405,1.68095,
20/11/1996 00:00:00,1.67125,1.67775,1.66955,1.67635,1.67085,1.67735,1.66915,1.67595,
19/11/1996 00:00:00,1.66365,1.67345,1.66205,1.67125,1.66325,1.67305,1.66165,1.67085,
15/11/1996 00:00:00,1.66145,1.66715,1.65995,1.66395,1.66105,1.66675,1.65955,1.66355,
14/11/1996 00:00:00,1.64605,1.66375,1.64245,1.66145,1.64565,1.66335,1.64205,1.66105,
13/11/1996 00:00:00,1.65175,1.65555,1.64465,1.64605,1.65135,1.65515,1.64425,1.64565,
12/11/1996 00:00:00,1.64865,1.65755,1.64475,1.65175,1.64825,1.65715,1.64435,1.65135,
08/11/1996 00:00:00,1.64215,1.65255,1.64005,1.64925,1.64175,1.65215,1.63965,1.64885,
07/11/1996 00:00:00,1.64725,1.65015,1.63895,1.64215,1.64685,1.64975,1.63855,1.64175,
06/11/1996 00:00:00,1.64445,1.65645,1.64345,1.64725,1.64405,1.65605,1.64305,1.64685,
05/11/1996 00:00:00,1.63745,1.64775,1.63315,1.64445,1.63705,1.64735,1.63275,1.64405,
01/11/1996 00:00:00,1.63345,1.63645,1.62465,1.62715,1.63305,1.63605,1.62425,1.62675,
31/10/1996 00:00:00,1.61105,1.63525,1.60915,1.63345,1.61065,1.63485,1.60875,1.63305,
30/10/1996 00:00:00,1.61345,1.61365,1.60465,1.61105,1.61305,1.61325,1.60425,1.61065,
29/10/1996 00:00:00,1.60455,1.61515,1.60315,1.61345,1.60415,1.61475,1.60275,1.61305,
25/10/1996 00:00:00,1.59725,1.59905,1.58975,1.59395,1.59685,1.59865,1.58935,1.59355,
24/10/1996 00:00:00,1.59975,1.60125,1.59535,1.59725,1.59935,1.60085,1.59495,1.59685,
23/10/1996 00:00:00,1.59285,1.60035,1.59145,1.59975,1.59245,1.59995,1.59105,1.59935,
22/10/1996 00:00:00,1.59155,1.59545,1.58935,1.59285,1.59115,1.59505,1.58895,1.59245,
18/10/1996 00:00:00,1.58425,1.58935,1.58165,1.58735,1.58385,1.58895,1.58125,1.58695,
17/10/1996 00:00:00,1.58855,1.58925,1.58245,1.58425,1.58815,1.58885,1.58205,1.58385,
16/10/1996 00:00:00,1.58115,1.59015,1.58005,1.58855,1.58075,1.58975,1.57965,1.58815,
15/10/1996 00:00:00,1.57955,1.58245,1.57765,1.58115,1.57915,1.58205,1.57725,1.58075,
11/10/1996 00:00:00,1.56605,1.56815,1.56335,1.56695,1.56565,1.56775,1.56295,1.56655,
10/10/1996 00:00:00,1.56295,1.56695,1.56255,1.56605,1.56255,1.56655,1.56215,1.56565,
09/10/1996 00:00:00,1.56355,1.56425,1.56165,1.56295,1.56315,1.56385,1.56125,1.56255,
08/10/1996 00:00:00,1.56545,1.56545,1.56255,1.56355,1.56505,1.56505,1.56215,1.56315,
04/10/1996 00:00:00,1.56595,1.56735,1.56425,1.56645,1.56555,1.56695,1.56385,1.56605,
03/10/1996 00:00:00,1.56485,1.57045,1.56435,1.56595,1.56445,1.57005,1.56395,1.56555,
02/10/1996 00:00:00,1.56605,1.56785,1.56305,1.56485,1.56565,1.56745,1.56265,1.56445,
01/10/1996 00:00:00,1.56375,1.56675,1.56125,1.56605,1.56335,1.56635,1.56085,1.56565,
27/09/1996 00:00:00,1.56205,1.56365,1.55715,1.56245,1.56165,1.56325,1.55675,1.56205,
26/09/1996 00:00:00,1.56565,1.56645,1.56085,1.56205,1.56525,1.56605,1.56045,1.56165,
25/09/1996 00:00:00,1.55645,1.56845,1.55515,1.56565,1.55605,1.56805,1.55475,1.56525,
24/09/1996 00:00:00,1.55475,1.55865,1.55195,1.55645,1.55435,1.55825,1.55155,1.55605,
20/09/1996 00:00:00,1.56095,1.56295,1.54985,1.55385,1.56055,1.56255,1.54945,1.55345,
19/09/1996 00:00:00,1.55535,1.56355,1.55525,1.56095,1.55495,1.56315,1.55485,1.56055,
18/09/1996 00:00:00,1.55845,1.55865,1.55355,1.55535,1.55805,1.55825,1.55315,1.55495,
17/09/1996 00:00:00,1.55535,1.55925,1.55135,1.55845,1.55495,1.55885,1.55095,1.55805,
13/09/1996 00:00:00,1.55555,1.55755,1.55365,1.55635,1.55515,1.55715,1.55325,1.55595,
12/09/1996 00:00:00,1.55675,1.55855,1.55355,1.55555,1.55635,1.55815,1.55315,1.55515,
11/09/1996 00:00:00,1.55795,1.55905,1.55315,1.55675,1.55755,1.55865,1.55275,1.55635,
10/09/1996 00:00:00,1.56115,1.56245,1.55605,1.55795,1.56075,1.56205,1.55565,1.55755,
06/09/1996 00:00:00,1.56795,1.57215,1.56505,1.56595,1.56755,1.57175,1.56465,1.56555,
05/09/1996 00:00:00,1.56725,1.56955,1.56405,1.56795,1.56685,1.56915,1.56365,1.56755,
04/09/1996 00:00:00,1.56095,1.56995,1.55945,1.56725,1.56055,1.56955,1.55905,1.56685,
03/09/1996 00:00:00,1.56145,1.56445,1.55885,1.56095,1.56105,1.56405,1.55845,1.56055,
