Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*","HISTORICAL SSI(AUD/USD, SSI).SSI"
05/02/2015 20:00:00,0.77963,0.78225,0.77913,0.77991,0.77944,0.78206,0.77897,0.77967,1.4921
05/02/2015 16:00:00,0.77956,0.78101,0.77825,0.77963,0.77938,0.78085,0.77806,0.77944,1.4866
05/02/2015 12:00:00,0.78134,0.78258,0.77925,0.77956,0.78116,0.78237,0.77905,0.77938,1.4195
05/02/2015 08:00:00,0.77742,0.78164,0.77676,0.78134,0.77724,0.78146,0.77656,0.78116,1.3804
05/02/2015 04:00:00,0.77681,0.77931,0.77675,0.77742,0.77663,0.77912,0.77658,0.77724,1.4767
05/02/2015 00:00:00,0.77541,0.77795,0.77345,0.77681,0.77493,0.77771,0.77327,0.77663,1.4839
04/02/2015 20:00:00,0.77538,0.78004,0.77491,0.77541,0.77519,0.77983,0.77465,0.77493,1.5893
04/02/2015 16:00:00,0.77715,0.77746,0.77440,0.77538,0.77697,0.77728,0.77420,0.77519,1.5553
04/02/2015 12:00:00,0.77909,0.78522,0.77595,0.77715,0.77892,0.78483,0.77576,0.77697,1.5463
04/02/2015 08:00:00,0.78399,0.78408,0.77839,0.77909,0.78380,0.78390,0.77819,0.77892,1.4551
04/02/2015 04:00:00,0.77838,0.78478,0.77787,0.78399,0.77821,0.78458,0.77767,0.78380,1.4207
04/02/2015 00:00:00,0.77939,0.78089,0.77551,0.77838,0.77917,0.78069,0.77528,0.77821,1.4252
03/02/2015 20:00:00,0.77613,0.78541,0.77602,0.77939,0.77595,0.78521,0.77582,0.77917,1.5614
03/02/2015 16:00:00,0.77006,0.77744,0.76865,0.77613,0.76988,0.77723,0.76848,0.77595,1.5138
03/02/2015 12:00:00,0.76629,0.77010,0.76619,0.77006,0.76609,0.76991,0.76602,0.76988,1.6535
03/02/2015 08:00:00,0.76645,0.76777,0.76273,0.76629,0.76628,0.76762,0.76254,0.76609,1.8147
03/02/2015 04:00:00,0.78126,0.78201,0.76518,0.76645,0.78109,0.78173,0.76499,0.76628,1.9264
03/02/2015 00:00:00,0.78042,0.78347,0.77913,0.78126,0.78018,0.78321,0.77872,0.78109,1.8165
02/02/2015 20:00:00,0.78181,0.78301,0.78016,0.78042,0.78164,0.78282,0.77995,0.78018,1.8462
02/02/2015 16:00:00,0.77932,0.78311,0.77921,0.78181,0.77915,0.78294,0.77904,0.78164,1.8252
02/02/2015 12:00:00,0.77863,0.78114,0.77823,0.77932,0.77845,0.78096,0.77805,0.77915,1.9113
02/02/2015 08:00:00,0.77831,0.78133,0.77771,0.77863,0.77813,0.78113,0.77755,0.77845,1.9558
02/02/2015 04:00:00,0.77895,0.77938,0.77667,0.77831,0.77878,0.77922,0.77650,0.77813,1.9125
02/02/2015 00:00:00,0.77624,0.77960,0.77521,0.77895,0.77483,0.77939,0.77474,0.77878,2.0585
01/02/2015 20:00:00,0.77796,0.77796,0.77469,0.77624,0.77563,0.77654,0.77443,0.77483,2.2341
30/01/2015 20:00:00,0.77639,0.77895,0.77506,0.77796,0.77620,0.77860,0.77470,0.77563,2.2341
30/01/2015 16:00:00,0.77438,0.77938,0.77319,0.77639,0.77419,0.77916,0.77301,0.77620,2.2502
30/01/2015 12:00:00,0.77617,0.77932,0.77320,0.77438,0.77599,0.77915,0.77302,0.77419,2.2818
30/01/2015 08:00:00,0.77916,0.77936,0.77579,0.77617,0.77899,0.77920,0.77564,0.77599,2.2038
30/01/2015 04:00:00,0.77872,0.77986,0.77623,0.77916,0.77855,0.77968,0.77607,0.77899,2.1310
30/01/2015 00:00:00,0.77626,0.77919,0.77623,0.77872,0.77604,0.77900,0.77551,0.77855,2.5117
29/01/2015 20:00:00,0.77262,0.77763,0.77209,0.77626,0.77245,0.77746,0.77192,0.77604,2.6232
29/01/2015 16:00:00,0.77861,0.78001,0.77228,0.77262,0.77844,0.77984,0.77211,0.77245,2.6499
29/01/2015 12:00:00,0.78221,0.78252,0.77744,0.77861,0.78204,0.78234,0.77727,0.77844,2.4211
29/01/2015 08:00:00,0.78750,0.78846,0.78072,0.78221,0.78734,0.78831,0.78054,0.78204,2.4385
29/01/2015 04:00:00,0.78977,0.79041,0.78606,0.78750,0.78959,0.79024,0.78589,0.78734,2.4035
29/01/2015 00:00:00,0.78897,0.79082,0.78831,0.78977,0.78874,0.79065,0.78814,0.78959,2.3938
28/01/2015 20:00:00,0.79751,0.79986,0.78854,0.78897,0.79734,0.79960,0.78833,0.78874,2.3516
28/01/2015 16:00:00,0.79648,0.79806,0.79523,0.79751,0.79630,0.79790,0.79505,0.79734,2.2878
28/01/2015 12:00:00,0.79972,0.80132,0.79417,0.79648,0.79953,0.80113,0.79397,0.79630,2.1202
28/01/2015 08:00:00,0.80005,0.80267,0.79831,0.79972,0.79989,0.80244,0.79808,0.79953,1.9673
28/01/2015 04:00:00,0.79819,0.80051,0.79756,0.80005,0.79799,0.80036,0.79736,0.79989,1.9886
28/01/2015 00:00:00,0.79382,0.80107,0.79017,0.79819,0.79358,0.80087,0.78998,0.79799,2.1142
27/01/2015 20:00:00,0.79286,0.79543,0.79203,0.79382,0.79266,0.79518,0.79186,0.79358,2.2626
27/01/2015 16:00:00,0.79454,0.79760,0.79198,0.79286,0.79434,0.79739,0.79183,0.79266,2.2266
27/01/2015 12:00:00,0.79500,0.79629,0.79345,0.79454,0.79481,0.79599,0.79328,0.79434,2.3188
27/01/2015 08:00:00,0.79427,0.79695,0.79201,0.79500,0.79408,0.79674,0.79182,0.79481,2.2800
27/01/2015 04:00:00,0.79290,0.79492,0.79115,0.79427,0.79272,0.79474,0.79098,0.79408,2.3405
27/01/2015 00:00:00,0.79264,0.79315,0.79067,0.79290,0.79236,0.79297,0.79049,0.79272,2.3495
26/01/2015 20:00:00,0.79278,0.79289,0.79145,0.79264,0.79260,0.79271,0.79126,0.79236,2.4420
26/01/2015 16:00:00,0.79181,0.79348,0.79136,0.79278,0.79161,0.79330,0.79117,0.79260,2.4138
26/01/2015 12:00:00,0.79234,0.79290,0.79007,0.79181,0.79214,0.79271,0.78989,0.79161,2.5869
26/01/2015 08:00:00,0.78964,0.79264,0.78761,0.79234,0.78945,0.79247,0.78743,0.79214,2.7901
26/01/2015 04:00:00,0.78946,0.79054,0.78731,0.78964,0.78928,0.79034,0.78713,0.78945,2.9868
26/01/2015 00:00:00,0.78898,0.79067,0.78595,0.78946,0.78755,0.79046,0.78571,0.78928,3.0149
25/01/2015 20:00:00,0.79266,0.79266,0.78566,0.78898,0.78981,0.78981,0.78512,0.78755,3.2762
23/01/2015 20:00:00,0.79226,0.79360,0.79071,0.79266,0.79205,0.79338,0.78961,0.78981,3.2762
23/01/2015 16:00:00,0.79257,0.79565,0.79072,0.79226,0.79237,0.79544,0.79050,0.79205,3.0733
23/01/2015 12:00:00,0.79561,0.79723,0.78822,0.79257,0.79541,0.79705,0.78802,0.79237,3.3234
23/01/2015 08:00:00,0.79909,0.80106,0.79512,0.79561,0.79889,0.80087,0.79492,0.79541,3.4423
23/01/2015 04:00:00,0.80185,0.80385,0.79659,0.79909,0.80166,0.80367,0.79628,0.79889,3.3910
23/01/2015 00:00:00,0.80275,0.80592,0.80046,0.80185,0.80247,0.80517,0.80022,0.80166,3.6969
22/01/2015 20:00:00,0.80770,0.80786,0.79965,0.80275,0.80750,0.80766,0.79942,0.80247,3.4729
22/01/2015 16:00:00,0.81089,0.81252,0.80706,0.80770,0.81061,0.81229,0.80685,0.80750,3.1001
22/01/2015 12:00:00,0.81082,0.81419,0.80978,0.81089,0.81064,0.81359,0.80959,0.81061,3.2099
22/01/2015 08:00:00,0.80673,0.81108,0.80655,0.81082,0.80653,0.81088,0.80639,0.81064,3.4753
22/01/2015 04:00:00,0.80917,0.80934,0.80568,0.80673,0.80899,0.80914,0.80548,0.80653,3.8663
22/01/2015 00:00:00,0.80882,0.81100,0.80731,0.80917,0.80835,0.81081,0.80707,0.80899,3.6122
21/01/2015 20:00:00,0.80963,0.81068,0.80830,0.80882,0.80944,0.81032,0.80805,0.80835,3.6959
21/01/2015 16:00:00,0.82247,0.82322,0.80792,0.80963,0.82228,0.82300,0.80772,0.80944,3.4677
21/01/2015 12:00:00,0.81837,0.82294,0.81793,0.82247,0.81819,0.82275,0.81774,0.82228,2.5617
21/01/2015 08:00:00,0.82138,0.82352,0.81688,0.81837,0.82121,0.82331,0.81669,0.81819,2.7072
21/01/2015 04:00:00,0.81846,0.82251,0.81842,0.82138,0.81828,0.82227,0.81823,0.82121,2.3527
21/01/2015 00:00:00,0.81721,0.81863,0.81563,0.81846,0.81694,0.81843,0.81544,0.81828,2.6787
20/01/2015 20:00:00,0.81724,0.81803,0.81653,0.81721,0.81708,0.81782,0.81636,0.81694,2.5864
20/01/2015 16:00:00,0.81957,0.82001,0.81687,0.81724,0.81939,0.81984,0.81669,0.81708,2.4878
