Date,"EUR/USD(Open, Ask)*","EUR/USD(High, Ask)*","EUR/USD(Low, Ask)*","EUR/USD(Close, Ask)*","HISTORICAL SSI(EUR/USD, SSI).SSI"
11/10/2012,1.28754,1.29523,1.28263,1.29272,-1.7796
10/10/2012,1.28847,1.29138,1.28362,1.28754,-1.4538
9/10/2012,1.29695,1.29913,1.28593,1.28847,-1.2691
8/10/2012,1.30330,1.30330,1.29381,1.29695,-1.6279
5/10/2012,1.30193,1.30722,1.29948,1.30330,-2.0074
4/10/2012,1.29067,1.30323,1.29032,1.30193,-2.0548
3/10/2012,1.29215,1.29379,1.28778,1.29067,-1.5365
2/10/2012,1.28886,1.29686,1.28811,1.29215,-1.6943
1/10/2012,1.28579,1.29393,1.28046,1.28886,-1.6462
28/9/2012,1.29128,1.29602,1.28392,1.28579,-1.3268
27/9/2012,1.28714,1.29290,1.28294,1.29128,-1.5201
26/9/2012,1.29026,1.29136,1.28360,1.28714,-1.3711
25/9/2012,1.29307,1.29715,1.28870,1.29026,-1.5890
24/9/2012,1.29808,1.29922,1.28916,1.29307,-1.5580
21/9/2012,1.29688,1.30487,1.29562,1.29808,-1.6670
20/9/2012,1.30492,1.30598,1.29201,1.29688,-1.5727
19/9/2012,1.30486,1.30860,1.29940,1.30492,-1.8625
18/9/2012,1.31171,1.31237,1.30302,1.30486,-1.7409
17/9/2012,1.31318,1.31728,1.30841,1.31171,-2.0724
14/9/2012,1.29893,1.31697,1.29809,1.31318,-2.1617
13/9/2012,1.29006,1.30025,1.28586,1.29893,-2.2488
12/9/2012,1.28554,1.29373,1.28159,1.29006,-2.0568
11/9/2012,1.27595,1.28721,1.27555,1.28554,-2.3507
10/9/2012,1.28189,1.28189,1.27564,1.27595,-2.1723
7/9/2012,1.26328,1.28192,1.26272,1.28189,-2.5434
6/9/2012,1.26028,1.26526,1.25621,1.26328,-2.1643
5/9/2012,1.25686,1.26251,1.25025,1.26028,-1.9266
4/9/2012,1.25972,1.26284,1.25556,1.25686,-1.5262
3/9/2012,1.25799,1.26121,1.25609,1.25972,-1.8624
31/8/2012,1.25089,1.26382,1.24944,1.25799,-1.8773
30/8/2012,1.25325,1.25645,1.24880,1.25089,-1.5320
29/8/2012,1.25662,1.25741,1.25193,1.25325,-1.6577
28/8/2012,1.25006,1.25772,1.24663,1.25662,-2.0315
27/8/2012,1.25139,1.25365,1.24907,1.25006,-1.6058
