Date,"Open, Ask","High, Ask","Low, Ask","Close, Ask","Open, Bid","High, Bid","Low, Bid","Close, Bid",SSI
03/10/2011 00:00:00,0.96801,0.97014,0.95276,0.95294,0.96786,0.96995,0.95251,0.95251,2.2639
30/09/2011 00:00:00,0.97845,0.98103,0.96732,0.96801,0.97799,0.98083,0.96703,0.96786,2.2854
29/09/2011 00:00:00,0.97824,0.98796,0.97029,0.97845,0.97802,0.98782,0.97008,0.97799,1.7829
28/09/2011 00:00:00,0.99138,0.99563,0.97772,0.97824,0.99121,0.99543,0.97740,0.97802,1.7487
27/09/2011 00:00:00,0.98339,0.99872,0.97778,0.99138,0.98314,0.99852,0.97757,0.99121,1.5936
26/09/2011 00:00:00,0.97680,0.98386,0.96237,0.98339,0.97654,0.98363,0.96213,0.98314,1.8040
23/09/2011 00:00:00,0.97442,0.98675,0.96702,0.97680,0.97398,0.98662,0.96677,0.97654,1.9533
22/09/2011 00:00:00,1.00441,1.00805,0.96925,0.97442,1.00412,1.00791,0.96901,0.97398,2.7377
21/09/2011 00:00:00,1.02801,1.02932,1.00356,1.00441,1.02749,1.02913,1.00330,1.00412,2.7245
20/09/2011 00:00:00,1.02239,1.03136,1.01497,1.02801,1.02199,1.03117,1.01475,1.02749,1.7231
19/09/2011 00:00:00,1.03692,1.03692,1.01682,1.02239,1.03608,1.03608,1.01664,1.02199,1.6203
16/09/2011 00:00:00,1.03302,1.03993,1.02959,1.03692,1.03263,1.03975,1.02940,1.03608,1.5858
15/09/2011 00:00:00,1.02907,1.03476,1.01837,1.03302,1.02753,1.03460,1.01818,1.03263,1.4585
14/09/2011 00:00:00,1.03129,1.03725,1.01788,1.02907,1.03095,1.03705,1.01771,1.02753,2.0810
13/09/2011 00:00:00,1.03508,1.03765,1.02638,1.03129,1.03439,1.03746,1.02616,1.03095,1.8259
12/09/2011 00:00:00,1.04539,1.04539,1.02567,1.03508,1.04518,1.04518,1.02549,1.03439,1.3187
09/09/2011 00:00:00,1.05771,1.06363,1.04226,1.04539,1.05748,1.06343,1.04206,1.04518,1.4240
08/09/2011 00:00:00,1.06631,1.06631,1.05673,1.05771,1.06601,1.06601,1.05652,1.05748,-1.5553
07/09/2011 00:00:00,1.04854,1.06631,1.04847,1.06631,1.04823,1.06606,1.04823,1.06601,-1.6279
06/09/2011 00:00:00,1.05539,1.06282,1.04835,1.04854,1.05489,1.06262,1.04815,1.04823,-1.2187
05/09/2011 00:00:00,1.06585,1.06585,1.05137,1.05539,1.06559,1.06559,1.05116,1.05489,-1.3351
02/09/2011 00:00:00,1.07228,1.07347,1.06267,1.06585,1.07194,1.07330,1.06253,1.06559,-2.0432
01/09/2011 00:00:00,1.07082,1.07655,1.06621,1.07228,1.07056,1.07639,1.06595,1.07194,-2.1854
31/08/2011 00:00:00,1.06832,1.07217,1.06493,1.07082,1.06799,1.07199,1.06427,1.07056,-1.7982
30/08/2011 00:00:00,1.06622,1.07216,1.06225,1.06832,1.06477,1.07194,1.06205,1.06799,-1.2469
